net_rating_diff,winpct_diff,pm5_diff,home_win
-0.197, -0.100, -2.400,1
-0.412, -15.900, -15.200,0 
-0.105, -3.000, 5.600,0
0.349, 14.000, 15.000,1
0.162, 6.300, 5.800,1
-0.026, -4.900, -21.000,0
0.012,-6.6,-5.6,0
-0.289,-10.5,-19.2,0 
-0.113,-2.0,-6.2,1
0.003,1.8,-1.0,0
0.517,21.6,29.6,1
-0.562,-25.0,-26.61,0
0.426,25.7,39.6,1
-0.2,-12.5,-14.8,0 
-0.082,-1.5,-4.0,0
0.079,9.6,19.4,1
-0.031,8.2,17.8,1
-0.136,-3.8,-7.6,0
0.077,4.9,-0.4,1
0.321,15.8,18.8,
0.442,16.7,19.8,
0.542,20.1,23.4,
0.014,-3.6,-2.0,
0.186,6.7,5.6,
-0.15,-1.2,7.4,
-0.073,-0.1,5.0,
-0.424,-19.8,-20.2,
0.07,1.8,8.2,
